行政代码,地名,东经,北纬
130630,河北省保定市涞源县,114.730451,39.366937
130631,河北省保定市望都县,115.178346,38.679015
130632,河北省保定市安新县,115.886731,38.878255
130633,河北省保定市易县,115.254022,39.317566
130634,河北省保定市曲阳县,114.660664,38.706612
130635,河北省保定市蠡县,115.669282,38.528232
130636,河北省保定市顺平县,115.073989,38.927951
130637,河北省保定市博野县,115.487786,38.459123
130638,河北省保定市雄县,116.183299,39.042787
130681,河北省保定市涿州市,115.999054,39.482482
130682,河北省保定市定州市,115.057407,38.465839
130683,河北省保定市安国市,115.334827,38.39374
130684,河北省保定市高碑店市,116.040934,39.265088
130700,河北省张家口市,114.893782,40.811188
130702,河北省张家口市桥东区,114.915166,40.78291
130703,河北省张家口市桥西区,114.861623,40.837646
130705,河北省张家口市宣化区,115.258472,40.632394
130708,河北省张家口市万全区,114.740584,40.767377
130709,河北省张家口市崇礼区,115.282345,40.974741
130722,河北省张家口市张北县,114.772897,41.293641
130723,河北省张家口市康保县,114.606536,41.784595
130724,河北省张家口市沽源县,115.636092,41.580404
130725,河北省张家口市尚义县,114.152528,41.132635
130726,河北省张家口市蔚县,114.712537,39.879353
130727,河北省张家口市阳原县,114.394396,40.138642
130728,河北省张家口市怀安县,114.502607,40.559534
130730,河北省张家口市怀来县,115.634061,40.347984
130731,河北省张家口市涿鹿县,115.223925,40.101876
130732,河北省张家口市赤城县,115.892223,40.956026
130800,河北省承德市,117.933822,40.992521
130802,河北省承德市双桥区,117.948355,40.971406
130803,河北省承德市双滦区,117.809336,41.051453
130804,河北省承德市鹰手营子矿区,117.679426,40.53176
130821,河北省承德市承德县,118.125718,40.973242
130822,河北省承德市兴隆县,117.726136,40.458142
130824,河北省承德市滦平县,117.369563,40.924821
130825,河北省承德市隆化县,117.56993,41.517995
130826,河北省承德市丰宁满族自治县,116.623795,41.425684
130827,河北省承德市宽城满族自治县,118.635888,40.57809
130828,河北省承德市围场满族蒙古族自治县,117.547022,42.108025
130881,河北省承德市平泉市,118.702032,41.018482
130900,河北省沧州市,116.863806,38.297615
130902,河北省沧州市新华区,116.893059,38.308375
130903,河北省沧州市运河区,116.844854,38.314446
130921,河北省沧州市沧县,116.862714,38.302139
130922,河北省沧州市青县,116.851234,38.565778
130923,河北省沧州市东光县,116.677832,37.887452
130924,河北省沧州市海兴县,117.567264,38.14247
130925,河北省沧州市盐山县,117.26694,37.96037
130926,河北省沧州市肃宁县,115.885816,38.422207
130927,河北省沧州市南皮县,116.86585,38.023186
130928,河北省沧州市吴桥县,116.508033,37.661863
130929,河北省沧州市献县,116.175505,38.242726
130930,河北省沧州市孟村回族自治县,117.159538,38.091265
130981,河北省沧州市泊头市,116.389236,38.090279
130982,河北省沧州市任丘市,116.163214,38.741105
130983,河北省沧州市黄骅市,117.400217,38.401522
130984,河北省沧州市河间市,116.271593,38.483721
131000,河北省廊坊市,116.703602,39.518611
131002,河北省廊坊市安次区,116.796123,39.345312
131003,河北省廊坊市广阳区,116.694236,39.533686
131022,河北省廊坊市固安县,116.28967,39.351106
131023,河北省廊坊市永清县,116.560557,39.302836
131024,河北省廊坊市香河县,117.051306,39.7431
131025,河北省廊坊市大城县,116.588639,38.668803
131026,河北省廊坊市文安县,116.494817,38.91139
131028,河北省廊坊市大厂回族自治县,116.955076,39.895316
131081,河北省廊坊市霸州市,116.574306,39.10932
131082,河北省廊坊市三河市,117.021284,39.967428
131100,河北省衡水市,115.686229,37.746929
131102,河北省衡水市桃城区,115.666657,37.724218
131103,河北省衡水市冀州区,115.579392,37.550922
131121,河北省衡水市枣强县,115.757677,37.461024
131122,河北省衡水市武邑县,115.944507,37.827679
131123,河北省衡水市武强县,115.920118,38.050513
131124,河北省衡水市饶阳县,115.740007,38.223059
131125,河北省衡水市安平县,115.490416,38.243196
131126,河北省衡水市故城县,115.978057,37.356998
131127,河北省衡水市景县,116.200134,37.668477
131128,河北省衡水市阜城县,116.328425,37.912309
131182,河北省衡水市深州市,115.586699,37.957013
140000,山西省,112.515496,37.866566
140100,山西省太原市,112.550864,37.890277
140105,山西省太原市小店区,112.577409,37.753528
140106,山西省太原市迎泽区,112.663203,37.865737
140107,山西省太原市杏花岭区,112.629836,37.915556
140108,山西省太原市尖草坪区,112.48844,37.972758
140109,山西省太原市万柏林区,112.402857,37.894693
140110,山西省太原市晋源区,112.481587,37.748675
140121,山西省太原市清徐县,112.387085,37.593242
140122,山西省太原市阳曲县,112.672659,38.158246
140123,山西省太原市娄烦县,111.797821,38.034584
140181,山西省太原市古交市,112.107739,37.905179
140200,山西省大同市,113.290509,40.113744
140212,山西省大同市新荣区,113.236894,40.267127
140213,山西省大同市平城区,113.300179,40.076991
140214,山西省大同市云冈区,113.150035,40.005844
140215,山西省大同市云州区,113.612496,40.040156
140221,山西省大同市阳高县,113.823181,40.222312
140222,山西省大同市天镇县,114.16813,40.403529
140223,山西省大同市广灵县,114.161702,39.768994
140224,山西省大同市灵丘县,114.213095,39.377268
140225,山西省大同市浑源县,113.710759,39.634162
140226,山西省大同市左云县,112.777856,40.000738
140300,山西省阳泉市,113.569238,37.869529
140302,山西省阳泉市城区,113.612838,37.857865
140303,山西省阳泉市矿区,113.540771,37.890804
140311,山西省阳泉市郊区,113.568086,37.911504
140321,山西省阳泉市平定县,113.768978,37.849271
140322,山西省阳泉市盂县,113.360967,38.229386
140400,山西省长治市,113.120292,36.201664
140403,山西省长治市潞州区,113.122725,36.203305
140404,山西省长治市上党区,113.051416,36.053104
140405,山西省长治市屯留区,112.892301,36.3162
140406,山西省长治市潞城区,113.228897,36.334597
140423,山西省长治市襄垣县,112.988973,36.580201
140425,山西省长治市平顺县,113.533689,36.221794
140426,山西省长治市黎城县,113.396852,36.619368
140427,山西省长治市壶关县,113.371998,35.992652
140428,山西省长治市长子县,112.802254,36.110999
140429,山西省长治市武乡县,112.96752,36.888323
140430,山西省长治市沁县,112.65221,36.707383
140431,山西省长治市沁源县,112.290094,36.701567
140500,山西省晋城市,112.867333,35.499834
140502,山西省晋城市城区,112.867333,35.499834
140521,山西省晋城市沁水县,112.37743,35.751489
140522,山西省晋城市阳城县,112.361527,35.426541
140524,山西省晋城市陵川县,113.343387,35.690744
140525,山西省晋城市泽州县,112.870985,35.475851
140581,山西省晋城市高平市,112.935115,35.809742
140600,山西省朔州市,112.479928,39.337672
140602,山西省朔州市朔城区,112.5562,39.243272
140603,山西省朔州市平鲁区,112.30435,39.640007
140621,山西省朔州市山阴县,112.786805,39.52105
140622,山西省朔州市应县,113.260593,39.509316
140623,山西省朔州市右玉县,112.421677,40.008136
140681,山西省朔州市怀仁市,113.133061,39.820522
140700,山西省晋中市,112.738514,37.693362
140702,山西省晋中市榆次区,112.843737,37.650825
140703,山西省晋中市太谷区,112.551297,37.421392
140721,山西省晋中市榆社县,112.954181,37.14005
140722,山西省晋中市左权县,113.474538,37.032795
140723,山西省晋中市和顺县,113.474934,37.348374
140724,山西省晋中市昔阳县,113.762106,37.563418
140725,山西省晋中市寿阳县,113.141611,37.825119
140727,山西省晋中市祁县,112.469066,37.292198
140728,山西省晋中市平遥县,112.265493,37.14809
140729,山西省晋中市灵石县,111.735504,36.834487
140781,山西省晋中市介休市,111.995188,37.025476
140800,山西省运城市,111.006854,35.038859
140802,山西省运城市盐湖区,110.961931,35.063677
140821,山西省运城市临猗县,110.625895,35.14938
140822,山西省运城市万荣县,110.71554,35.388134
140823,山西省运城市闻喜县,111.319287,35.373753
140824,山西省运城市稷山县,110.965122,35.598267
140825,山西省运城市新绛县,111.172875,35.631583
140826,山西省运城市绛县,111.64482,35.498579
140827,山西省运城市垣曲县,111.824787,35.221584
140828,山西省运城市夏县,111.358386,35.12668
140829,山西省运城市平陆县,111.251109,34.888646
140830,山西省运城市芮城县,110.616496,34.709535
140881,山西省运城市永济市,110.488949,34.894672
140882,山西省运城市河津市,110.708539,35.631891
140900,山西省忻州市,112.727939,38.461031
140902,山西省忻州市忻府区,112.6052,38.437832
140921,山西省忻州市定襄县,113.035589,38.51675
140922,山西省忻州市五台县,113.442104,38.778174
140923,山西省忻州市代县,113.050582,39.093197
140924,山西省忻州市繁峙县,113.596214,39.204757
140925,山西省忻州市宁武县,112.193896,38.82189
140926,山西省忻州市静乐县,112.064994,38.400067
140927,山西省忻州市神池县,112.00992,39.173053
140928,山西省忻州市五寨县,111.744757,39.008731
140929,山西省忻州市岢岚县,111.543568,38.737957
140930,山西省忻州市河曲县,111.359829,39.20644
140931,山西省忻州市保德县,111.142835,38.887135
140932,山西省忻州市偏关县,111.671903,39.464649
140981,山西省忻州市原平市,112.682128,38.838876
141000,山西省临汾市,111.538788,36.099745
141002,山西省临汾市尧都区,111.474665,36.125937
141021,山西省临汾市曲沃县,111.527041,35.704201
141022,山西省临汾市翼城县,111.839209,35.695398
141023,山西省临汾市襄汾县,111.385953,35.874204
141024,山西省临汾市洪洞县,111.659378,36.325514
141025,山西省临汾市古县,112.011243,36.303823
141026,山西省临汾市安泽县,112.307904,36.164296
141027,山西省临汾市浮山县,111.928409,35.945831
141028,山西省临汾市吉县,110.728162,36.158677
141029,山西省临汾市乡宁县,110.944128,35.925119
141030,山西省临汾市大宁县,110.710805,36.432636
141031,山西省临汾市隰县,111.009965,36.711951
141032,山西省临汾市永和县,110.617898,36.737137
141033,山西省临汾市蒲县,111.162359,36.4246
141034,山西省临汾市汾西县,111.483148,36.642781
141081,山西省临汾市侯马市,111.371509,35.621785
141082,山西省临汾市霍州市,111.830836,36.599678
141100,山西省吕梁市,111.143157,37.527316
141102,山西省吕梁市离石区,111.313142,37.552339
141121,山西省吕梁市文水县,111.964995,37.459706
141122,山西省吕梁市交城县,111.819927,37.687046
141123,山西省吕梁市兴县,111.069311,38.392263
141124,山西省吕梁市临县,110.901147,37.962867
141125,山西省吕梁市柳林县,110.876927,37.403754
141126,山西省吕梁市石楼县,110.753479,37.035145
141127,山西省吕梁市岚县,111.606641,38.343813
141128,山西省吕梁市方山县,111.337979,37.886688
141129,山西省吕梁市中阳县,111.185904,37.266318
141130,山西省吕梁市交口县,111.315924,36.957719
141181,山西省吕梁市孝义市,111.637646,37.118133
141182,山西省吕梁市汾阳市,111.745996,37.316764
150000,内蒙古自治区,114.415868,43.468238
150100,内蒙古呼和浩特市,111.660351,40.828319
150102,内蒙古呼和浩特市新城区,111.791327,40.929361
150103,内蒙古呼和浩特市回民区,111.596886,40.838895
150104,内蒙古呼和浩特市玉泉区,111.658553,40.747387
150105,内蒙古呼和浩特市赛罕区,111.876335,40.788864
150121,内蒙古呼和浩特市土默特左旗,114.415868,43.468238
150122,内蒙古呼和浩特市托克托县,111.3197,40.361084
150123,内蒙古呼和浩特市和林格尔县,111.901693,40.333868
150124,内蒙古呼和浩特市清水河县,111.706236,39.889118
150125,内蒙古呼和浩特市武川县,111.179572,41.116204
150200,内蒙古包头市,109.846239,40.647119
150202,内蒙古包头市东河区,110.070141,40.589124
150203,内蒙古包头市昆都仑区,109.806834,40.658057
150204,内蒙古包头市青山区,109.903675,40.658778
150205,内蒙古包头市石拐区,110.299215,40.716464
150206,内蒙古包头市白云鄂博矿区,109.846239,40.647119
150207,内蒙古包头市九原区,109.949197,40.627202
150221,内蒙古包头市土默特右旗,114.415868,43.468238
150222,内蒙古包头市固阳县,110.167592,41.104725
150223,内蒙古包头市达尔罕茂明安联合旗,110.286189,41.943507
150300,内蒙古乌海市,106.831999,39.683177
150302,内蒙古乌海市海勃湾区,106.861482,39.734834
150303,内蒙古乌海市海南区,106.925397,39.296209
150304,内蒙古乌海市乌达区,106.725859,39.535878
150400,内蒙古赤峰市,118.930761,42.297112
150402,内蒙古赤峰市红山区,118.998103,42.286232
150403,内蒙古赤峰市元宝山区,119.268169,42.184131
150404,内蒙古赤峰市松山区,118.757106,42.268753
150421,内蒙古赤峰市阿鲁科尔沁旗,120.053241,44.195957
150422,内蒙古赤峰市巴林左旗,119.280766,44.203431
150423,内蒙古赤峰市巴林右旗,118.94609,43.684787
150424,内蒙古赤峰市林西县,118.110216,43.771462
150425,内蒙古赤峰市克什克腾旗,114.415868,43.468238
150426,内蒙古赤峰市翁牛特旗,114.415868,43.468238
150428,内蒙古赤峰市喀喇沁旗,118.667056,41.908351
150429,内蒙古赤峰市宁城县,118.905499,41.571041
150430,内蒙古赤峰市敖汉旗,120.157713,42.430592
150500,内蒙古通辽市,122.260363,43.633756
150502,内蒙古通辽市科尔沁区,122.291294,43.65829
150521,内蒙古通辽市科尔沁左翼中旗,122.49918,44.057579
150522,内蒙古通辽市科尔沁左翼后旗,122.697345,43.196083
150523,内蒙古通辽市开鲁县,121.324094,43.734942
150524,内蒙古通辽市库伦旗,121.573038,42.810038
150525,内蒙古通辽市奈曼旗,114.415868,43.468238
150526,内蒙古通辽市扎鲁特旗,114.415868,43.468238
150581,内蒙古通辽市霍林郭勒市,119.579748,45.528106
150600,内蒙古鄂尔多斯市,109.993706,39.81649
150602,内蒙古鄂尔多斯市东胜区,109.764419,39.805586
150603,内蒙古鄂尔多斯市康巴什区,109.858586,39.60793
150621,内蒙古鄂尔多斯市达拉特旗,109.866191,40.220264
150622,内蒙古鄂尔多斯市准格尔旗,110.886239,39.794725
150623,内蒙古鄂尔多斯市鄂托克前旗,114.415868,43.468238
150624,内蒙古鄂尔多斯市鄂托克旗,114.415868,43.468238
150625,内蒙古鄂尔多斯市杭锦旗,108.212828,40.212873
150626,内蒙古鄂尔多斯市乌审旗,114.415868,43.468238
150627,内蒙古鄂尔多斯市伊金霍洛旗,114.415868,43.468238
150700,内蒙古呼伦贝尔市,119.760822,49.201636
150702,内蒙古呼伦贝尔市海拉尔区,120.042882,49.279245
